id,dimension,label,family,tags,content_tags,prompt,use_when,avoid_when,risk,source_ids,provenance
temporal_forms-001,temporal_forms,连续的一次值守,continuous-time,labor|duration|immediacy,,在一个连续工作时段里让选择逐次改变局面,时间跨度能承载必要关系,每分钟都必须升级刺激时,连续时间失去生活呼吸,R2|R4,original_synthesis
temporal_forms-002,temporal_forms,同一事务的几次回访,repeated-visit,habit|change|interval,,在重复任务间保留生活间隔并显示后果积累,每次回访改变人物关系,只换异常的道具时,重复访问成为固定关卡,R2|R4,original_synthesis
temporal_forms-003,temporal_forms,先见代价再见选择,consequence-first,consequence|causality|reconstruction,,先呈现后果再让读者理解当时为何如此选择,后果不替人物定罪,只为藏凶手制造障眼法时,倒叙缩成谜底包装,R2|R4,original_synthesis
temporal_forms-004,temporal_forms,一项任务中的短回忆,embedded-memory,past|agency|labor,,过去片段只在改变当前取舍时进入,回忆提供行为依据,每次紧张都切入身世说明时,创伤说明中断行动,R2|R4,original_synthesis
temporal_forms-005,temporal_forms,两种日程逐渐错开,parallel-time,time|relationship|coordination,,原本共同的作息分离并影响协作,差异能通过普通安排出现,只靠钟表读数矛盾时,时间异常没有关系,R2|R4,original_synthesis
temporal_forms-006,temporal_forms,从长期惯例截取一天,slice-of-continuity,habit|duration|community,,不展示起源而写惯例中一次有代价的偏离,日常规则可从动作理解,所有背景都只暗示不落地时,开篇谜语化,R2|R4,original_synthesis
temporal_forms-007,temporal_forms,事件结束后的生活,aftermath-time,consequence|care|continuity,,主要叙事发生在异常被控制后的日常安排中,后果能持续推动行动,开头讲完故事后只剩感想时,余波没有新的选择,R2|R4,original_synthesis
temporal_forms-008,temporal_forms,自然周期作为时间,ecological-time,season|ecology|duration,,通过潮水光照或物候标示必须回应的变化,环境观察足够具体,拿虚构生物学当事实时,诗性季节代替期限,R2|R4,original_synthesis
temporal_forms-009,temporal_forms,一次等待中的多种长度,subjective-duration,waiting|perception|time,,共同等待使不同人物承受不同的时间成本,等待期间仍发生选择,无事件地堆心理描写时,慢燃误成拖沓,R2|R4,original_synthesis
temporal_forms-010,temporal_forms,两个承诺的截止冲突,intersecting-deadlines,promise|time|choice,,不同时间要求迫使人物重新排序责任,两项要求各有成立理由,人为制造不可能兼顾的巧合时,作者强加假两难,R2|R4,original_synthesis
temporal_forms-011,temporal_forms,按责任先后呈现,causal-order,responsibility|handoff|causality,,叙述顺序跟随后果由谁承担而非神秘线索顺序,因果关系始终可追踪,跳跃导致先后完全不可辨时,读者只能整理时间表,R2|R4,original_synthesis
temporal_forms-012,temporal_forms,小跨度反复但生活继续,recurring-window,habit|time|variation,,某类片刻反复出现同时外部生活持续推进,重复的代价逐次不同,循环只用于重置失败时,时间游戏注销后果,R2|R4,original_synthesis
temporal_forms-013,temporal_forms,以缺席标出时间,absence-time,absence|relationship|interval,,通过没能完成的普通约定让时间显形,缺席有具体关系成本,缺席者只有身份谜题时,又回到遗忘人口套路,R2|R4,original_synthesis
temporal_forms-014,temporal_forms,读者先知道期限,dramatic-anticipation,anticipation|time|asymmetry,,让读者知道人物尚未面对的行动期限,知情差产生同情或焦虑,旁白许诺事故却一直不兑现时,预告腔破坏沉浸,R2|R4,original_synthesis
temporal_forms-015,temporal_forms,跨代但不寻找起源,intergenerational-time,family|handoff|continuity,,不同年代各自处理同一责任而不汇成完整神话,每代人有不同现实约束,代际段落只用来补设定时,家族诅咒百科化,R2|R4,original_synthesis
temporal_forms-016,temporal_forms,一次决定前后的并置,decision-hinge,agency|consequence|change,,让同一日常动作在决定前后承担不同意义,决定真实改变人物处境,前后差别只是换形容词时,形式对照没有因果,R2|R4,original_synthesis
temporal_forms-017,temporal_forms,倒向无法撤回的起点,reverse-causality-reading,past|consequence|agency,,后果先行再逐步抵达那个当时合理的起始动作,每段增加理解而非撤销事实,只追求最后一句奇巧时,倒序削弱人物当下性,R2|R4,original_synthesis
temporal_forms-018,temporal_forms,开放时段中的局部完成,partial-closure-time,closure|continuity|labor,,完整写完一项行动但让更长的生活仍持续,局部任务有可确认终点,没有任何行动得到完成时,开放结尾等同没写完,R2|R4,original_synthesis
