id,dimension,label,family,tags,content_tags,prompt,use_when,avoid_when,risk,source_ids,provenance
relationships-001,relationships,互相照护的伴侣,mutual-care,care|intimacy|reciprocity,,两人各擅长照顾对方的一部分需求,双方都有主动性与不对称需要,一人只能承担受害者功能时,亲密关系只剩替身检验,R3,original_synthesis
relationships-002,relationships,分居后的共同责任,negotiated-care,care|separation|cooperation,,关系已经结束但一项共同责任仍要协作,边界与旧默契同时影响行动,离开关系被叙述成惩罚理由时,旧爱自动复燃,R3,original_synthesis
relationships-003,relationships,轮班搭档,work-trust,labor|handoff|trust,,彼此只见交接片刻却依靠对方长期完成工作,劳动成果构成间接信任,唯一交流都是提示谜题时,搭档成为线索递送员,R3,original_synthesis
relationships-004,relationships,师徒技能传递,knowledge-asymmetry,labor|learning|authority,,徒弟能验证手艺却未必理解师傅的取舍,技术和价值判断可以分开,所有经验都被包装成禁忌时,师傅只负责神秘沉默,R3,original_synthesis
relationships-005,relationships,欠过人情的邻居,reciprocity,neighbors|debt|help,,小恩惠使拒绝一次普通请求变得困难,互助历史有好坏两面,邻居从一开始毫无可信善意时,人情机械等同契约,R3,original_synthesis
relationships-006,relationships,兄弟姐妹的分工,family-negotiation,family|care|fairness,,共同责任被分成不等量且难衡量的任务,各自生活负担都可理解,用血缘自动解释全部牺牲时,家人化为脸谱冲突,R3,original_synthesis
relationships-007,relationships,临时组成的互助队,emergent-group,community|cooperation|trust,,陌生人以具体小事建立信任再处理更重后果,有足够互动形成关系,人物只有职业标签时,群像只为逐个消失,R3,original_synthesis
relationships-008,relationships,服务者与长期顾客,service-dependence,service|labor|trust,,重复服务让双方知道彼此不公开的生活规律,服务者有专业边界,窥探隐私被无条件美化时,顾客只是怪异素材,R3,original_synthesis
relationships-009,relationships,产权人与实际使用者,unequal-power,property|power|habit,,一人能决定空间归属另一人掌握实际运作,权利与知识不在同一人手中,简单将身份分成善恶时,社会议题变成口号,R3,original_synthesis
relationships-010,relationships,共同隐瞒者,shared-secret,secrecy|loyalty|responsibility,,两人对隐瞒的理由相同但愿承担的代价不同,隐瞒有具体保护对象,秘密只为最后反转保密时,沉默缺乏现实用途,R3,original_synthesis
relationships-011,relationships,照护者与专业支持者,distributed-care,care|expertise|coordination,medical,亲近经验和专业知识各自只掌握部分事实,两方均有能力与合理边界,把医疗专业一概写成无效时,专业者为剧情降智,R3,original_synthesis
relationships-012,relationships,没有共同语言的协作者,limited-language,communication|cooperation|trust,,协作通过动作形成而解释始终不完全重合,能写清误会和修复,语言差异被当智力差异时,异文化等同神秘,R3,original_synthesis
relationships-013,relationships,受益者与被忽略者,unequal-benefit,resource|power|recognition,,同一正常安排对两人产生相反的生活后果,收益差异可观察,只让被忽略者担任复仇装置时,弱者被写成诅咒源,R3,original_synthesis
relationships-014,relationships,反对但可靠的伙伴,productive-conflict,conflict|trust|consent,,伙伴持续反对方法却仍履行共同责任,分歧不影响基本可信度,每次反对都被证明愚蠢时,异议只有拖后腿功能,R3,original_synthesis
relationships-015,relationships,陌生的继任者,succession,handoff|future|responsibility,,两人对同一角色有不同的生活期待,继任不是替主角受苦,新人没有任何选择空间时,传递责任只是结尾递刀,R3,original_synthesis
relationships-016,relationships,失去联系后重逢的人,interrupted-trust,past|change|intimacy,,熟悉感仍在但双方已经改变,新生活与旧记忆都得到位置,重逢只为验证身份真假时,人物没有时间留下的变化,R3,original_synthesis
relationships-017,relationships,临时托管关系,custody,trust|property|absence,,托付对象不能随意处理但又必须照常照料,托付内容和权限清楚,托付者永远无缘由失联时,禁止打开的盒子套路,R3,original_synthesis
relationships-018,relationships,集体与不愿代表的人,representation,community|voice|consent,,群体需要一个说话者但此人不愿替所有人表态,集体内有真实不同意见,集体天然拥有同一意志时,群体成为单一怪物,R3,original_synthesis
