id,dimension,label,family,tags,content_tags,prompt,use_when,avoid_when,risk,source_ids,provenance
rhythms-001,rhythms,稳定劳动中的轻微偏差,baseline-deviation,labor|habit|slow,,以工作节律承载小范围异常并让它影响取舍,日常工作本身值得阅读,只重复正常很久再突然惊吓时,慢燃等于延迟开场,R2|R5,original_synthesis
rhythms-002,rhythms,关系先紧异常后明,relational-pressure,intimacy|conflict|slow,,先使普通关系需要回应再让异常进入选择,关系即使没有异常也成立,前半篇与后半篇毫无因果时,像拼接两篇故事,R2|R5,original_synthesis
rhythms-003,rhythms,已知危险下的日常间隔,known-threat,anticipation|habit|contrast,,危险已经明确但人物仍需完成生活事务,普通事务是真需要,间隔只为了下一次跳吓时,安静段成机械缓冲,R2|R5,original_synthesis
rhythms-004,rhythms,一次强显现后的持续后果,aftermath-pressure,consequence|care|contrast,,较早发生具体显现随后让生活承担它,后果比显现有更多关系变化,后段仅重复回忆惊吓时,高开后失去推进,R2|R5,original_synthesis
rhythms-005,rhythms,多次轻松中改变代价,uneven-relief,benefit|cost|variation,,每次缓和解决局部问题但改变谁承受负担,读者能看清获得与失去,每次舒缓都必藏反转时,读者不再相信任何正常,R2|R5,original_synthesis
rhythms-006,rhythms,平静交流中选择收窄,conversational-pressure,language|consent|agency,,不提高音量而让合理提议逐步排除可接受方案,对话每轮改变现实选择,仅靠长篇哲理台词时,安静变成抽象辩论,R2|R5,original_synthesis
rhythms-007,rhythms,延后显现但提前后果,consequence-before-image,anticipation|material|slow,,读者先看见异常给生活造成的具体负担,后果本身有感官与行动,始终没有任何具体异常经验时,故意藏怪替代恐怖,R2|R5,original_synthesis
rhythms-008,rhythms,稳定重复中的一次拒绝,refusal-pulse,habit|consent|change,,重复建立预期后让一个人拒绝继续,拒绝有可理解理由和后果,一切重复只是为突变铺垫时,人物被节拍控制,R2|R5,original_synthesis
rhythms-009,rhythms,多人反应不同步,asynchronous-pressure,community|time|conflict,,危险对不同人物的到达时间不同,时间差改变互助与判断,一部分人永远只负责否认时,群像分工僵硬,R2|R5,original_synthesis
rhythms-010,rhythms,压力恒定而对象改变,redistributed-pressure,responsibility|community|variation,,总负担未必升级但持续改变承担者,转移由人物选择造成,作者随机指定下一受害者时,重复受难没有因果,R2|R5,original_synthesis
rhythms-011,rhythms,安全逐项变得昂贵,cost-escalation,benefit|responsibility|slow,,每次保持安全都要求放弃不同生活可能,成本类别真实不同,每回合只是价格翻倍时,升级成游戏数值,R2|R5,original_synthesis
rhythms-012,rhythms,一次不可撤回动作后的停顿,irreversible-pause,agency|silence|consequence,,让读者在结果未齐之前感受动作已经完成,等待里仍有具体关系变化,只用空行和省略号拖延时,排版冒充节奏,R2|R5,original_synthesis
rhythms-013,rhythms,普通喜悦与真实威胁并存,mixed-affect,joy|care|contrast,,保留劳动完成或相处愉快的真实满足,快乐不被结尾一笔抹掉,所有温情都反转成恶意时,故事只有统一阴暗滤镜,R2|R5,original_synthesis
rhythms-014,rhythms,不靠峰值的逐步迁就,accommodation,habit|consent|slow,,人物持续适应新日常直到发现已放弃太多,每次迁就当时都合理,只用蒙太奇跳过关键选择时,温水叙事没有场景,R2|R5,original_synthesis
rhythms-015,rhythms,简短危机与漫长修复,repair-duration,care|labor|contrast,,危险发生很快但修复占据故事主要时间,修复会改变人与人的关系,修复只为恢复下一轮同样危机时,循环没有积累,R2|R5,original_synthesis
rhythms-016,rhythms,公开场景维持平静,public-restraint,public|reputation|contrast,,人物在必须照常交流的场合承担具体危险,维持场面有现实理由,所有人为了礼貌无视致命危险时,压抑靠降智维持,R2|R5,original_synthesis
rhythms-017,rhythms,线索不增加而责任增加,responsibility-escalation,knowledge|care|slow,,人物始终只知道有限事实却必须作更多选择,选择的依据随关系变化,一直不给足做决定的最低信息时,未知成为作者免责,R2|R5,original_synthesis
rhythms-018,rhythms,末段减速完成一次普通动作,closing-deceleration,habit|closure|attention,,让结尾停在已经变义但仍能完成的日常行为,动作承接此前选择,硬把无关道具拉来收尾时,每篇都同一种尾针,R2|R5,original_synthesis
