id,dimension,label,family,tags,content_tags,prompt,use_when,avoid_when,risk,source_ids,provenance
pressures-001,pressures,离开就中断照护,obligation,care|dependency,medical,人物离开会让具体照护事务无人接续,已写明谁需要什么帮助,不交代任何替代安排时,用亲情强行扣留人物,R2|R3,original_synthesis
pressures-002,pressures,保住共同收入,livelihood,labor|income|collective,,个人退出会影响一群人的正常收入,收益与风险分配不均可见,把贫困当必然贪婪时,人人为钱失去判断,R2|R3,original_synthesis
pressures-003,pressures,必须完成交接,obligation,handoff|deadline|labor,,责任尚未被接收使人物无法安静离场,交接有清楚可完成标准,标准随剧情无限追加时,任务锁门替代冲突,R2|R3,original_synthesis
pressures-004,pressures,承诺先于异常,commitment,promise|loyalty|past,,一个普通承诺在异常出现后变得昂贵,承诺形成过程足以令人相信,一句发誓代替完整动机时,忠诚被写成机械服从,R2|R3,original_synthesis
pressures-005,pressures,修复信任的机会,relationship-pressure,trust|repair|past,,人物不愿错过一次能补回旧伤的共同任务,对方也有拒绝和改变的权利,用道歉自动换取原谅时,旧创伤只作入场券,R2|R3,original_synthesis
pressures-006,pressures,有限的公共资源,resource-pressure,scarcity|community|allocation,,每次分配都使另一个需求延后,资源用途和受影响者明确,资源缺口只为逼出牺牲时,假两难隐藏可行办法,R2|R3,original_synthesis
pressures-007,pressures,拒绝就失去居所,livelihood,housing|dependency|power,,生活稳定依赖一项尚不明朗的日常义务,权力差和可求助渠道同时存在,把弱势角色无路可走写成宿命时,恐怖消耗人物尊严,R2|R3,original_synthesis
pressures-008,pressures,被期待永远可靠,identity-pressure,reputation|care|labor,,人物的社会角色使承认能力边界变得困难,可信能力曾真正帮助别人,角色只有逞强这一特点时,能干人物被迫降智,R2|R3,original_synthesis
pressures-009,pressures,临近自然窗口,deadline-pressure,season|weather|ecology,,必须在潮汐天气或物候转变前决定,时间限制有环境依据,反复虚构新的最后期限时,倒计时只剩数字,R2|R3,original_synthesis
pressures-010,pressures,不愿把风险转给新人,ethical-pressure,handoff|care|responsibility,,人物可以脱身但知道接班人将承担什么,转交关系与风险可观察,新人只是替死工具时,责任变成无意义自毁,R2|R3,original_synthesis
pressures-011,pressures,公开承认旧错误,reputation-pressure,truth|institution|past,,求助需要同时暴露曾经隐瞒的普通失误,错误的现实后果先于异常成立,把轻微失误写成应受超自然惩罚时,道德报应削平人物,R2|R3,original_synthesis
pressures-012,pressures,保存共同生活方式,collective-pressure,community|change|belonging,,改善安全会改变一些人赖以生活的惯例,惯例也确实带来价值,传统本身被当成邪恶来源时,集体只剩守旧反派,R2|R3,original_synthesis
pressures-013,pressures,难以拒绝的善意,relationship-pressure,help|reciprocity|trust,,援助及时解决困难却逐渐要求更深参与,帮助确实有效而非立即露馅,受助者只能被写成愚蠢时,所有善意都成骗局,R2|R3,original_synthesis
pressures-014,pressures,想证明不是局外人,identity-pressure,belonging|group|recognition,,人物主动承担别人无需承担的证明劳动,群体内部存在不同态度,身份差异天然等同威胁时,融入欲望被廉价惩罚,R2|R3,original_synthesis
pressures-015,pressures,无法延迟的道别,deadline-pressure,departure|relationship|change,,两人即将分别使悬而未决的关系必须回应,分别有现实原因,强行让每个人临终告白时,期限挤走人物复杂性,R2|R3,original_synthesis
pressures-016,pressures,另一人的合理不同意,relationship-pressure,consent|conflict|autonomy,,对方不愿接受人物认为最安全的方案,双方都有可陈述理由,把不同意直接等同被附身时,意见冲突被恐怖抹平,R2|R3,original_synthesis
pressures-017,pressures,维持少数人的便利,ethical-pressure,privilege|resource|habit,,人物的正常生活建立在别人不被看见的付出上,利益链能落实到行动,结尾只剩作者宣讲时,寓意先行压过故事,R2|R3,original_synthesis
pressures-018,pressures,提前享用了成果,debt-pressure,benefit|time|responsibility,,好处已经进入生活而履行责任才刚开始,获得过程与受益者具体,把契约写成随机惩罚按钮时,交易自动滑向魔鬼合同,R2|R3,original_synthesis
