id,dimension,label,family,tags,content_tags,prompt,use_when,avoid_when,risk,source_ids,provenance
evidence-001,evidence,动作留下的物理后果,physical-consequence,material|agency|evidence,,用人物完成动作后留下的改变承载异常,改变能影响下一步选择,痕迹出现后再无用途时,把一切写成寻找线索,R2|R4,original_synthesis
evidence-002,evidence,协作中无法归属的力,shared-experience,body|cooperation|evidence,,多人共同承担的重量或节奏显示第三种作用,每个人都能描述局部感受,仅主角一句感觉不对时,共同经验被旁白替代,R2|R4,original_synthesis
evidence-003,evidence,仍在运行的普通流程,procedural-evidence,institution|labor|evidence,,正常程序连续产出不应出现的后果,读者理解少数必要步骤,需看长篇技术说明才能懂时,程序成为谜题炫技,R2|R4,original_synthesis
evidence-004,evidence,对方的实际让步,relational-evidence,consent|trust|relationship,,不宣称怪异而让对方为一个看不见的要求改变生活,让步有成本且可被看见,所有人只作神秘暗示时,对话故弄玄虚,R2|R4,original_synthesis
evidence-005,evidence,多个感官共同指向,sensory-convergence,sound|touch|perception,,声音触感或温度分别证实同一不协调,少量感官彼此有因果联系,每种感官都同时被随机欺骗时,感官堆叠替代清楚场面,R2|R4,original_synthesis
evidence-006,evidence,相互矛盾的感官,sensory-conflict,perception|body|space,,让可重复的触觉和视觉对同一局部给出不同关系,矛盾足够简单可跟随,矛盾仅是修辞比喻时,诗性句子冒充事件,R2|R4,original_synthesis
evidence-007,evidence,别人的正常后续行动,indirect-consequence,community|habit|evidence,,人物未见异常但看见别人按它改变普通安排,行动还有普通合理解释的余地,其他角色只负责证明主角正确时,配角成为证据机器,R2|R4,original_synthesis
evidence-008,evidence,共同任务完成了缺失部分,task-residue,labor|absence|cooperation,,没有承担者的工作被完成且成果可用,未完成会真实影响别人,只剩多一份签字时,档案替身老路,R2|R4,original_synthesis
evidence-009,evidence,空间使用的磨损差异,material-history,space|habit|material,,磨损显示某种持续使用方式与公开用途不合,空间一直有人正常使用,每道划痕都被读成密码时,侦探式过度解释,R2|R4,original_synthesis
evidence-010,evidence,无法同归一人的受益,distribution-evidence,benefit|community|resource,,多个合理受益同时成立却使付出失去对应者,收益能具体呈现,只给读者账表让其算题时,关系被统计替代,R2|R4,original_synthesis
evidence-011,evidence,可复查但范围有限的测量,bounded-measurement,knowledge|space|material,,测量可靠确认局部却不能推出整体解释,人物有现实理由使用测量,测量一出现便全被篡改时,科学工具只能负责失败,R2|R4,original_synthesis
evidence-012,evidence,共同见证中的正常分歧,perspectival-evidence,witness|perception|community,,证人对意义有分歧但对一项后果一致,分歧来自位置与关系差异,用统一失忆省略所有证词时,证言差异只是拖延,R2|R4,original_synthesis
evidence-013,evidence,不愿承认的能力变化,embodied-evidence,body|learning|agency,,熟练度或动作负担变化让人物不得不重估经历,技能此前有明确基线,突然凭空多会一种万能技能时,能力赠送变升级爽文,R2|R4,original_synthesis
evidence-014,evidence,可供他人继续使用的成果,transferable-residue,labor|material|handoff,,异常产物被后来者正常使用因而不能随叙述消失,后续使用改变关系或责任,产物只是展示后即遗忘时,实物只是客观性装饰,R2|R4,original_synthesis
evidence-015,evidence,有代价的拒绝,choice-evidence,consent|agency|responsibility,,人物为拒绝一个看似普通动作付出可见损失,拒绝缘由通过前文可理解,拒绝仅为故作高深时,行为谜语化,R2|R4,original_synthesis
evidence-016,evidence,身体损伤的共同负担,embodied-cost,body|care|evidence,body_horror|medical,具体身体改变需要他人帮助处理并留下持续生活影响,描写服务照护与选择,只靠伤势不断加重刺激时,受伤者成为恐怖道具,R2|R4,original_synthesis
evidence-017,evidence,明知结局仍无法停止的动作,anticipatory-evidence,time|agency|habit,,人物准确说出局部后果却继续完成普通动作,原因来自关系或现实约束,只用被控制解释所有行为时,宿命取消人物选择,R2|R4,original_synthesis
evidence-018,evidence,环境中的持续响应,ecological-evidence,ecology|sound|material,,环境对不同人物重复出现相似但有限的反应,可观察响应与具体行动相连,直接让自然开口解释本体时,生态被写成拟人裁判,R2|R4,original_synthesis
