id,dimension,label,family,tags,content_tags,prompt,use_when,avoid_when,risk,source_ids,provenance
costs-001,costs,失去一段共同时间,temporal-cost,time|intimacy|care,,行动保住当下却使某段不可替代的相处无法发生,时间对关系原本重要,只用抽象寿命数值代替时,成本游戏化,R2|R3,original_synthesis
costs-002,costs,信任不能恢复原样,relational-cost,trust|truth|relationship,,正确行动改变了对方愿意依赖自己的范围,对方有合理边界与变化过程,对方只负责惩罚主角时,关系沦为奖惩装置,R2|R3,original_synthesis
costs-003,costs,能力仍在却失去资格,institutional-cost,labor|identity|institution,,人物知道怎样做却不能再以原有身份做,资格此前保护实际生活,制度只作任意阻碍时,职业标签没有后果,R2|R3,original_synthesis
costs-004,costs,原本安静的生活变成持续劳动,labor-cost,habit|care|continuity,,暂时安全要求真实增加照料维护或协调,负担可以写成可见任务,任务只是重复仪式口令时,恐怖退为做任务,R2|R3,original_synthesis
costs-005,costs,无法保全自己的好名声,reputation-cost,truth|public|past,,承担责任会让他人合理地重新看待人物,声誉变化不等于人人恶意,被误会只是圣人主角勋章时,自我牺牲感伤化,R2|R3,original_synthesis
costs-006,costs,放弃曾经得到的便利,material-cost,benefit|resource|habit,,普通生活重新变得费力而安全也未完全恢复,便利此前真正影响生活,牺牲的东西读者从未见过时,成本只在对白报账,R2|R3,original_synthesis
costs-007,costs,只能救下一种关系,relational-cost,intimacy|choice|separation,,保全一段关系的方式使另一段关系无法维持,两段关系各有具体价值,临时添加另一关系逼两难时,作者摆出的选择题,R2|R3,original_synthesis
costs-008,costs,承担持续的身体变化,embodied-cost,body|care|continuity,body_horror|medical,行动留下需要生活适应的身体改变,人物仍有愿望能力和日常,身体差异被视为人格败坏时,伤残只承担恐怖意象,R2|R3,original_synthesis
costs-009,costs,知道足够多而无法卸责,knowledge-cost,knowledge|responsibility|choice,,真实知识使人物再也不能以不知道为由退出,知道会改变一项具体选择,认知代价只有抽象发疯时,知识等同精神惩罚,R2|R3,original_synthesis
costs-010,costs,不能再把任务交给无知者,responsibility-cost,handoff|consent|future,,一旦理解局部后果就失去轻易卸下任务的办法,仍可能争取知情协作,除了自毁没有任何出路时,道德责任被绝对化,R2|R3,original_synthesis
costs-011,costs,安全范围缩小,spatial-cost,space|habit|limits,,人物能活下去但某些普通活动变得无法自由进行,范围变化影响真实生活,每次转场都新增随机禁区时,地图规则无限膨胀,R2|R3,original_synthesis
costs-012,costs,共同体出现难弥合的分工差,collective-cost,community|labor|fairness,,方案有效却使不同成员承担长久不同的负担,差异能被看见和继续争论,全体自动认可一个牺牲者时,集体合理化暴力,R2|R3,original_synthesis
costs-013,costs,亲近必须经过新的确认,relational-cost,intimacy|consent|habit,,熟悉动作不再能自动代表对方的同意,新确认既保护关系也带来失落,把谨慎确认嘲弄成冷漠时,亲密只能靠越界证明,R2|R3,original_synthesis
costs-014,costs,失去可以独自解释的过去,epistemic-cost,past|identity|truth,,过去仍发生过但人物不再拥有唯一可信解释,变化由新事实支持,直接宣布全部回忆虚假时,记忆清零取消人生,R2|R3,original_synthesis
costs-015,costs,别人必须知道自己的脆弱,exposure-cost,privacy|help|trust,,求助使人物放弃独自维持可靠形象,帮助并非只有羞辱,将被帮助者写成失去尊严时,依赖被污名化,R2|R3,original_synthesis
costs-016,costs,无法完成原定道别,temporal-cost,departure|relationship|closure,,危机处理占据了本该完成的一次普通告别,告别关系在前文已具体,临时增加死亡来催泪时,未完成只作情绪按钮,R2|R3,original_synthesis
costs-017,costs,保全成果却失去用途,material-cost,labor|benefit|change,,人物完成的东西仍存在但生活已不能按原方式使用,用途曾连接具体愿望,成果只是象征物没有实际需要时,寓意写在道具表面,R2|R3,original_synthesis
costs-018,costs,带着不可解决的分歧继续协作,collective-cost,conflict|cooperation|limits,,行动有效却无法使所有人认同同一种意义,仍有足够共同目标支持生活,分歧只为了下一篇制造钩子时,冲突没有当下价值,R2|R3,original_synthesis
