id,dimension,label,family,tags,content_tags,prompt,use_when,avoid_when,risk,source_ids,provenance
endings-001,endings,责任被清楚地拒绝转交,responsibility-closure,handoff|consent|future,,最后完成一次拒绝让不知情者接手的动作,故事持续处理责任传递,拒绝没有实际后果时,道德宣言替代收尾,R2|R4,original_synthesis
endings-002,endings,关系以新边界继续,relational-closure,intimacy|consent|continuity,,人物继续相处但一个普通默契需重新确认,关系选择已足够具体,把一切恢复甜蜜抵消前文时,温情清零恐怖,R2|R4,original_synthesis
endings-003,endings,局部任务完成而生活不同,partial-completion,labor|closure|consequence,,完成可确认的具体工作并呈现它改变的生活,任务从开头就有实际意义,完成后无任何人物回应时,以终极未知掩盖缺结尾,R2|R4,original_synthesis
endings-004,endings,公开解释稳定了错误安排,testimony-closure,truth|institution|concealment,,结尾的正式说法让生活继续却使一项已知后果更难被承认,人物参与过维持该说法的选择,直到末尾才无铺垫宣布所有人串通时,社会恐怖滑向万能阴谋,R2|R4,original_synthesis
endings-005,endings,安全的代价成为日常分工,redistribution-closure,community|care|labor,,用一次普通分工展示暂时安全由谁持续承担,承担者有表达和选择,结尾赞美不平等为必要时,献祭被包装为秩序,R2|R4,original_synthesis
endings-006,endings,选择以习惯形式延续,habit-closure,agency|habit|continuity,,人物的关键决定留在后来一个自动发生的动作里,动作是选择结果而非纯象征,临时塞入陌生习惯时,动作暗示没有来源,R2|R4,original_synthesis
endings-007,endings,获救的人无法共享同一种记述,relational-closure,truth|community|difference,,共同存活的人接受彼此不同理解并继续生活,分歧不推翻已发生事实,多版本只为让答案永远拖延时,开放变成任意可能,R2|R4,original_synthesis
endings-008,endings,成功同时留下伦理亏欠,moral-remainder,benefit|responsibility|limits,,局部成功确实成立却有人仍需被回应,亏欠由人物选择产生,用突然出现的新受害者制造内疚时,作者临时追加惩罚,R2|R4,original_synthesis
endings-009,endings,共同动作无法再自然完成,habit-closure,cooperation|body|absence,,一个曾经默契的普通动作需要停顿或改变次序,动作前文承担关系意义,只靠最后数出多一只手时,物件计数改成身体计数,R2|R4,original_synthesis
endings-010,endings,得到想要的却留不住原关系,desire-closure,desire|benefit|relationship,,人物确实获得追求之物却无法要求关系仍按从前运作,关系变化来自取得成果的实际选择,任意施加无关损失惩罚欲望时,许愿必受罚的道德公式,R2|R4,original_synthesis
endings-011,endings,便利继续而付出被默许,benefit-closure,benefit|labor|complicity,,一次正常使用显示人物已接受此前不愿承认的隐性代价,默许通过行动形成而非旁白判罪,把承担者完全抹掉只写主角感慨时,结尾只有讽刺口号,R2|R4,original_synthesis
endings-012,endings,有边界的共存获得一次检验,coexistence-closure,consent|boundary|limits,,一个小范围约定被落实但未被证明能永久有效,约定来自前文协商,最后忽然全盘失效制造惊吓时,协商过程被作者否定,R2|R4,original_synthesis
endings-013,endings,离开的人保有选择的代价,departure-closure,travel|separation|agency,,人物真正离开并携带已发生的关系变化,离开不是重置所有后果,再用道具跟到新家取消离开时,逃脱结尾必追杀,R2|R4,original_synthesis
endings-014,endings,责任完成了含混的转交,responsibility-closure,handoff|avoidance|consequence,,人物如愿结束交接但一次普通关系回应显出后果没有清零,含混之处早已让读者看见,只在结尾换一个新受害者时,诅咒接力替代人物余波,R2|R4,original_synthesis
endings-015,endings,承认失去而保留生活,grief-closure,loss|care|continuity,death,人物完成纪念或整理而让未被解释的部分留在关系里,失去不能被万能复活取消,亡者突然现身只为尾部惊吓时,哀悼沦为鬼影铺垫,R2|R4,original_synthesis
endings-016,endings,原先的问题不再是人物要问的,epistemic-closure,knowledge|relationship|change,,结尾通过行动表明人物改变了需要得到的答案,改变来自真实经历和代价,用哲理独白取代行动时,主题升华压过小说,R2|R4,original_synthesis
endings-017,endings,正常秩序继续但观察位置改变,perspectival-closure,public|habit|attention,,同一公共日常从承担后果者的位置重新被看见,位置变化有生活依据,镜头拉远突然宣布宇宙真相时,尺度反转替代余韵,R2|R4,original_synthesis
endings-018,endings,已付出的代价不再被隐藏,testimony-closure,truth|responsibility|public,,让一种过去被省略的劳动或损失进入普通称呼与安排,公开承认会改变现实关系,承认被等同解决所有伤害时,结尾只是发表正确观点,R2|R4,original_synthesis
