id,dimension,label,family,tags,content_tags,prompt,use_when,avoid_when,risk,source_ids,provenance
everyday_anchors-001,everyday_anchors,等待对方回答,interaction-anchor,language|consent|pause,,一个普通问句后的等待承载新的关系边界,故事让回应权产生真实后果,结尾直接命令读者不要回答时,互动恐吓替代联想,R3|R4,original_synthesis
everyday_anchors-002,everyday_anchors,替别人留出空间,spatial-anchor,space|care|habit,,让路或移动座位的普通动作获得不同含义,空间与照护关系相连,只靠空椅子暗示多一人时,日常物件计数惯性,R3|R4,original_synthesis
everyday_anchors-003,everyday_anchors,完成工作后停一下,labor-anchor,labor|time|rest,,任务结束后的短暂停顿唤回未能卸下的责任,工作和休息边界贯穿故事,把所有停顿都写成危险信号时,故事外诅咒感过强,R3|R4,original_synthesis
everyday_anchors-004,everyday_anchors,把任务交给接班人,handoff-anchor,handoff|trust|responsibility,,日常交接中的确认变得需要真正被听见,责任分配推动了人物选择,只重复神秘交接词时,规则口令化,R3|R4,original_synthesis
everyday_anchors-005,everyday_anchors,给熟人搭把手,care-anchor,body|help|trust,,扶持或协助的微小用力带回共同承担的后果,具体帮助在正文多次有不同作用,身体接触天然被写成恶意时,善意全部污名化,R3|R4,original_synthesis
everyday_anchors-006,everyday_anchors,共同吃一顿普通饭,shared-routine-anchor,domestic|community|continuity,,按谁的需要分配时间或劳动而非数餐具制造回响,食物和生活事务有真实存在感,每次都落到多一副碗筷时,道具替换误充变化,R3|R4,original_synthesis
everyday_anchors-007,everyday_anchors,结束一次通话,communication-anchor,sound|closure|relationship,,普通结束语与真正停止承担关系之间出现余量,通话有实际情感或工作用途,仅靠挂断后继续响声时,声音尾针标准化,R3|R4,original_synthesis
everyday_anchors-008,everyday_anchors,请求他人同意,consent-anchor,language|consent|agency,,过去随口而出的请求需要认真等待回应,同意与代理决定有前文冲突,使用答应就诅咒的规则时,同意被简化成陷阱,R3|R4,original_synthesis
everyday_anchors-009,everyday_anchors,领取一项免费便利,benefit-anchor,benefit|habit|labor,,享受便利时会想到被省去的劳动由谁承担,获益链已通过事件呈现,末尾直说世上没有免费午餐时,寓意抢走读者反应,R3|R4,original_synthesis
everyday_anchors-010,everyday_anchors,听见别人完成熟练工作,labor-anchor,sound|labor|coordination,,熟悉节奏中的配合关系唤回人物的决定,声音此前与真实劳动相连,节奏只用来藏神秘密码时,感官细节工具化,R3|R4,original_synthesis
everyday_anchors-011,everyday_anchors,给自己留出休息时间,temporal-anchor,time|privacy|habit,,从任务中抽出的时间承载对自主生活的重新认识,休息曾受到具体关系影响,休息一律被写成会招灾时,责任恐怖逼迫永远劳动,R3|R4,original_synthesis
everyday_anchors-012,everyday_anchors,在公共队列中等待,public-anchor,public|fairness|resource,,谁被允许先行的微小安排映出已发生的代价,资源分配是核心冲突,队列只是幽灵队伍奇观时,公共生活变布景,R3|R4,original_synthesis
everyday_anchors-013,everyday_anchors,把修好的东西放回使用,repair-anchor,repair|material|continuity,,恢复用途的动作让人记起修复中保留的差异,修复既成功又有后果,物体最后自动再坏一次时,所有成功都被撤销,R3|R4,original_synthesis
everyday_anchors-014,everyday_anchors,照常说出一个称呼,language-anchor,language|identity|recognition,,熟悉称呼保留新的责任范围或关系边界,称呼通过行动获得变化,突然出现被遗忘的姓名时,身份档案旧套路,R3|R4,original_synthesis
everyday_anchors-015,everyday_anchors,与别人保持步调,coordination-anchor,body|cooperation|space,,同行时的快慢承载谁在等谁的关系改变,步调曾影响实际选择,脚步声只用于背后多一人时,追随者惊吓定式,R3|R4,original_synthesis
everyday_anchors-016,everyday_anchors,收回一句习惯性保证,language-anchor,promise|trust|limits,,人物不再自动承诺一件自己无法保证的事,保证曾带来真实后果,把克制说成世界绝望时,无力感吞掉有限行动,R3|R4,original_synthesis
everyday_anchors-017,everyday_anchors,查看普通劳动留下的痕迹,material-anchor,material|labor|attention,,修补磨损或整理的结果提醒曾被忽略的承担者,痕迹来自前文行动,所有痕迹都成超自然线索时,世界不再有普通事物,R3|R4,original_synthesis
everyday_anchors-018,everyday_anchors,替一个缺席者继续一件小事,continuity-anchor,absence|care|labor,,具体小任务使关系继续存在而不需要完整解释,缺席不等于人物被剧情删除,任务只是召唤亡者的仪式时,关系回响缩成通灵按钮,R3|R4,original_synthesis
