id,dimension,label,family,tags,content_tags,prompt,use_when,avoid_when,risk,source_ids,provenance
choices-001,choices,留在当下照护,care-action,care|presence|responsibility,medical,人物留下完成一次明确照护并主动放弃另一项需求,留下能改变具体生活后果,仅因主角必须受困时,责任变成无限自我牺牲,R2|R3,original_synthesis
choices-002,choices,只说足够保住自己的部分,concealment-action,truth|reputation|self-interest,,人物选择性说出事实以保住眼前处境并让别人据此行动,羞耻或损失使隐瞒当时显得有吸引力,作者把遗漏的主角已知事实也瞒着读者作弊时,人物犯错被简化为应受报应,R2|R3,original_synthesis
choices-003,choices,停止代替别人同意,boundary-action,consent|care|agency,,人物不再为他人决定即使结果令自己不安,对方有理解和表达选择的机会,把放任危险伪装为尊重时,同意成为责任免责,R2|R3,original_synthesis
choices-004,choices,争取先满足自己的需要,allocation-action,resource|self-interest|competition,,人物为优先得到有限资源说服他人让步并承担关系变化,个人需求真实迫切而别人需求也成立,把自保欲望写成天生邪恶时,自利人物失去普通人的复杂性,R2|R3,original_synthesis
choices-005,choices,抢先完成别人正在尝试的事,competitive-action,ambition|recognition|labor,,人物为获得认可抢先行动使局面不再受原有协作约束,竞争历史与成功诱因具体,只有毫无理由的逞强时,野心成为降智按钮,R2|R3,original_synthesis
choices-006,choices,退出已获便利,exit-action,benefit|habit|cost,,主动放弃一种异常带来的实际好处并承担替代劳动,替代有困难但不是完全不可能,好处从未真正重要时,退出没有分量,R2|R3,original_synthesis
choices-007,choices,把责任留在自己名下,accountability-action,handoff|responsibility|truth,,人物拒绝用含混交接让不知情者接走风险,仍允许寻找有知情权的共同方案,以自毁证明高尚时,负责等于孤独献祭,R2|R3,original_synthesis
choices-008,choices,坚持兑现已经变质的承诺,attachment-action,promise|pride|past,,人物不愿承认自己先前判断有误而继续投入并缩小退路,执念同时包含真情和自我维护,把所有坚持都判成愚蠢时,沉没成本只有说教没有当下诱因,R2|R3,original_synthesis
choices-009,choices,为偏爱的人留下例外,loyalty-action,intimacy|favoritism|choice,,人物让自己在乎的人免于共同承担并把缺口留给别人,偏爱有关系历史且他人后果可见,将亲近者写成天生值得更多权利时,私心被无条件浪漫化,R2|R3,original_synthesis
choices-010,choices,为共同撤离放弃私人成果,exit-action,travel|cooperation|benefit,,人物舍弃已完成的个人目标使他人能一起行动,舍弃与安全之间有可见因果,突然丢物就能解开所有问题时,象征动作变万能钥匙,R2|R3,original_synthesis
choices-011,choices,迟报一个不愿承认的错误,concealment-action,shame|reputation|delay,,人物为了先自行补救而推迟告知并让原本可逆的问题扩大,人物有一定补救能力和现实失面风险,只是为剧情强行禁止求助时,错误被当作超自然惩罚依据,R2|R3,original_synthesis
choices-012,choices,重新询问一个普通请求,boundary-action,language|consent|habit,,对过去自动答应的请求停下来确认对象范围和后果,请求此前确有日常用途,一问问题怪物就自动现形时,礼貌分析变口令解谜,R2|R3,original_synthesis
choices-013,choices,使用可靠但有限的方法,bounded-action,knowledge|limits|agency,,采用已验证的局部方法同时安排它覆盖不了的风险,方法的适用边界有证据,成功就宣告彻底控制异常时,技能升级取代恐怖,R2|R3,original_synthesis
choices-014,choices,让另一人有权离开,boundary-action,care|separation|consent,,人物解除对方由人情或责任承担的留守义务,离开会真实改变共同生活,离开者被叙述道德惩罚时,选择自由只是陷阱,R2|R3,original_synthesis
choices-015,choices,继续使用已经尝到的便利,benefit-action,benefit|desire|risk,,人物知道局部风险仍决定再用一次好处并使生活更依赖它,好处的实际价值足以解释冒险,只用贪婪二字概括整个人时,诱惑退化成标准魔鬼交易,R2|R3,original_synthesis
choices-016,choices,中断一次熟练动作,interruption-action,body|habit|agency,,人物在动作最自然处主动停下并承受结果,动作已和人物人生建立联系,停一下就自动逆转终极规律时,勇气成为魔法按钮,R2|R3,original_synthesis
choices-017,choices,把争论变成共同可见的试行,coordination-action,knowledge|cooperation|consent,,双方同意一个有限可停止的试行来改变眼前处境,试行不牺牲不知情者,把角色当实验耗材时,验证过程失去伦理与情感,R2|R3,original_synthesis
choices-018,choices,把难题留到交接以后,deferral-action,handoff|avoidance|self-interest,,人物借一次形式上完成的交接推迟面对后果并发现关系仍在,脱身诱因与交接漏洞均有铺垫,作者赞美将风险交给不知情者为万能解法时,后果只作惩罚而不显现关系因果,R2|R3,original_synthesis
