id,dimension,label,family,tags,content_tags,prompt,use_when,avoid_when,risk,source_ids,provenance
perspectives-001,perspectives,当事人的当下感知,single-focal,first-person|limited|immediacy,,只给当前人物能知道的事实并让判断随行动修正,故事靠近具体体验,为反转隐瞒叙述者当下已知关键事实时,不可靠成为作弊许可,R3|R4,original_synthesis
perspectives-002,perspectives,第三人称紧随一人,single-focal,third-person|limited|intimacy,,语法在外而感知贴近一人的生活经验,需要距离与亲近同时存在,随意进入他人内心解决信息缺口时,视角便利性漂移,R3|R4,original_synthesis
perspectives-003,perspectives,同一责任的两端,paired-focal,multiple|care|asymmetry,,两人交替看到同一责任的不同后果,差异来自位置和价值排序,两段只重复同一事件时,多视角没有新增关系,R3|R4,original_synthesis
perspectives-004,perspectives,做事的人与受益的人,paired-focal,labor|benefit|asymmetry,,把劳动过程与享受成果的生活并置,双方都有人生且彼此有限理解,一方只当道德对照组时,视角变成判词,R3|R4,original_synthesis
perspectives-005,perspectives,有限群体的我们,collective-voice,first-person|community|belonging,,集体叙述露出谁能被包含在我们里面,群体内仍有可见差异,我们成为全知万能旁白时,群像抹去个体,R3|R4,original_synthesis
perspectives-006,perspectives,外部动作观察,external-focal,third-person|behavior|withholding,,通过动作对话和具体后果让读者推知内心,行为足够表达关键取舍,把动机藏到完全无法判断时,冷静叙述变成空心记录,R3|R4,original_synthesis
perspectives-007,perspectives,事后仍不能解释的见证,retrospective,first-person|witness|limits,,叙述者知道后来后果却承认解释的边界,能区分当时所知与现在所知,结尾用我早知道强行反转时,回忆视角扣牌,R3|R4,original_synthesis
perspectives-008,perspectives,接班人的有限理解,successor-focal,handoff|learning|future,,新来者接触前人留下的工作而逐步形成自己的取舍,已有工作影响当下生活,全部内容只是读旧日记时,故事退化成档案浏览,R3|R4,original_synthesis
perspectives-009,perspectives,反对者的合理视角,dissent-focal,conflict|trust|consent,,让不同意主角的人拥有足够可信的行动依据,分歧可改变共同策略,专为最后证明反对者错时,假公平的工具视角,R3|R4,original_synthesis
perspectives-010,perspectives,长期旁观的服务者,peripheral-focal,service|habit|distance,,通过重复服务看见别人关系的细小改变,旁观者也承担自己的后果,窥见所有秘密却没有限制时,配角变全知摄像机,R3|R4,original_synthesis
perspectives-011,perspectives,只能听见一端的对话,partial-access,sound|communication|limited,,保留可听部分和当下行动让空白形成实际压力,缺失一端有自然场景理由,关键答复总被噪声打断时,人为拖延信息,R3|R4,original_synthesis
perspectives-012,perspectives,对等却不同步的见证,asynchronous-focal,multiple|time|witness,,两个视角各自真实但面对后果的时间不同,时间差改变选择而非只拼谜题,非线性只是隐藏答案时,结构花招吞掉人物,R3|R4,original_synthesis
perspectives-013,perspectives,讲述与所见不完全重合,split-narration,focalization|voice|distance,,区分讲故事的声音与被呈现经验的人,能保持可识别的信息边界,无标记地让旁白越界读心时,复杂视角导致误读,R3|R4,original_synthesis
perspectives-014,perspectives,人物给亲近者的有限讲述,addressed-narration,intimacy|language|trust,,说话对象影响人物愿解释什么及如何解释,对象对故事有现实利害,用称呼包装没有必要的长独白时,书信形式成为噱头,R3|R4,original_synthesis
perspectives-015,perspectives,不追随异常中心的人,off-center-focal,community|consequence|limited,,讲述承担周边后果的人如何继续生活,中心事件仍有具体可感后果,全篇只听说而无行动时,避开中心变成回避恐怖,R3|R4,original_synthesis
perspectives-016,perspectives,不统一裁决的多人视角,plural-focal,multiple|conflict|ambiguity,,各人能确认局部事实但没有一人获得最终解释权,分歧来自生活和接触条件,每个版本任意推翻前文时,罗列可能性替代故事,R3|R4,original_synthesis
perspectives-017,perspectives,随责任转移的焦点,transferred-focal,handoff|care|agency,,责任交给谁叙述就进入谁必须处理的当下,每次转移都有真实选择,频繁换人只为隐藏结局时,接力视角沦为计数游戏,R3|R4,original_synthesis
perspectives-018,perspectives,稳定叙述中的认知修正,revising-focal,knowledge|trust|limited,,叙述事实保持可靠而人物解释逐步改变,读者有材料自行判断,修改解释等同删除发生过的事时,修正被误写为幻觉清零,R3|R4,original_synthesis
