id,dimension,label,family,tags,content_tags,prompt,use_when,avoid_when,risk,source_ids,provenance
fears-001,fears,善意不再可辨,trust-failure,trust|help|ambiguity,,同一援助既解决困境又扩大依赖,读者先看到援助的实际价值,所有善意都被立即揭为恶意时,廉价反转取消信任,R2|R3,original_synthesis
fears-002,fears,选择并不属于自己,agency-loss,agency|habit|consent,,人物发现自己做得到拒绝却总在行动上让步,能区分外部影响与人物愿望,用精神疾病标签解释异常时,心理问题被妖魔化,R2|R3,original_synthesis
fears-003,fears,承担无法结束的责任,obligation-fear,care|responsibility|time,,完成一次照料反而产生新的合理需要,责任对象仍是具体的人,需要被写成邪恶本质时,照护本身成为恐怖借口,R2|R3,original_synthesis
fears-004,fears,被当成可替换零件,instrumentalization,labor|identity|institution,,环境承认职能却逐渐不承认承担职能的人,角色有可见专业与私人生活,只靠姓名消失制造恐怖时,身份删除旧梗,R2|R3,original_synthesis
fears-005,fears,亲近意味着伤害,intimacy-conflict,intimacy|distance|care,,靠近和远离各自损害一部分珍视的关系,两种选择后果均有铺垫,伤害被浪漫化为爱的证明时,亲密只剩牺牲竞赛,R2|R3,original_synthesis
fears-006,fears,无人拥有完整后果,distributed-responsibility,community|causality|institution,,每人只做合理的小部分却无法认领总体结果,能追踪几项具体行为的累积,只能用阴谋组织解释一切时,系统成为抽象坏人,R2|R3,original_synthesis
fears-007,fears,熟练动作越过意愿,embodied-alienation,body|habit|agency,,身体完成熟练工作而人物逐渐无法认可成果,动作本来有普通用途,全部恐怖只靠失忆解释时,身体异化同质化,R2|R3,original_synthesis
fears-008,fears,无法证明已经结束,boundary-loss,closure|time|doubt,,事件终止的正常信号不再足以解除责任,开始和结束的信号曾可信,结尾仅靠再响一次门铃时,无限续集钩子,R2|R3,original_synthesis
fears-009,fears,被准确理解仍不被承认,recognition-failure,identity|voice|isolation,,对方能复述需要却持续把它归给不存在的主体,对话保有实际协商空间,只是任何人都不相信主角时,群众被写成无脑否认,R2|R3,original_synthesis
fears-010,fears,尺度大到无从请求,scale-fear,ecology|scale|indifference,,异常后果具体而人物无法确认它是否察觉人类,局部行动仍能改变小范围后果,大到使所有行动完全无意义时,宏大词语代替经验,R2|R3,original_synthesis
fears-011,fears,正常必须有人付费,moral-contamination,benefit|responsibility|community,,安全生活依赖某项一直被转移的代价,代价从日常安排中可追踪,把某类人写成天生祭品时,社会寓言压平人物,R2|R3,original_synthesis
fears-012,fears,可相容事实无法共存,world-model-failure,perception|space|causality,,单独可验证的事实共同出现时互相排斥,一次只集中破坏少数认知关系,无限新增矛盾却没有行动后果时,谜题堆积没有人物,R2|R3,original_synthesis
fears-013,fears,自己的边界可被转交,boundary-transfer,body|identity|ownership,,原属于个人的知觉权限或劳动逐渐成为他人可用资源,转交有具体触发与可见后果,只靠诡异形容词描述边界时,概念恐怖空转,R2|R3,original_synthesis
fears-014,fears,共同语言停止保护人,semantic-failure,language|consent|institution,,大家仍懂每个词却无法用完整句子阻止同一件事,沟通尝试能展示逐步损失,任意让语言失效时,作者为制造孤立切断交流,R2|R3,original_synthesis
fears-015,fears,未来只剩一种合规方式,possibility-loss,future|institution|choice,,多种生活选择被普通程序逐项排除,每次排除都有可理解局部理由,直接宣布命运无法改变时,选择恐怖没有真实选择,R2|R3,original_synthesis
fears-016,fears,不再有私人时刻,exposure-fear,privacy|intimacy|public,,普通停顿和独处被纳入某种持续回应关系,先建立人物需要独处的理由,只靠全知监控设备解释时,科技恐惧变成单点漏洞,R2|R3,original_synthesis
fears-017,fears,抵抗正在帮助异常,counterproductive-action,agency|causality|conflict,,人物的有效反抗同时改善异常赖以运转的条件,两种后果都能回看验证,每次行动都任意被判失败时,无解虐待角色,R2|R3,original_synthesis
fears-018,fears,理解越来越精确而选择更少,knowledge-cost,knowledge|agency|doubt,,可靠知识缩小了误判却暴露更难接受的现实,发现确实能解决局部问题,所有发现都是假线索时,知识只剩剧情惩罚,R2|R3,original_synthesis
