id,dimension,label,family,tags,content_tags,prompt,use_when,avoid_when,risk,source_ids,provenance
engines-001,engines,维持照护,maintenance,care|continuity|dependency,medical,每次行动为维持对方当下生活并逐步改变双方关系,日常需要能推动下一步,照护对象只有威胁没有人生时,把照护写成重复受难,R2|R3,original_synthesis
engines-002,engines,协商共处,negotiation,consent|boundary|community,,行动围绕可接受的共同生活边界反复协商,双方要求能以局部后果呈现,把异常完整人格化讲清全部动机时,谈判变怪物说明会,R2|R3,original_synthesis
engines-003,engines,资源分配,allocation,scarcity|community|fairness,,为使多人维持生活而分配有限资源并承担连锁结果,不同需求都具体且合理,资源只是人头牺牲按钮时,假两难制造残酷,R2|R3,original_synthesis
engines-004,engines,完成共同工作,coordination,labor|coordination|deadline,,人物为了实际成果协调不同动作和认知,工作步骤与结果可理解,成果从未对生活重要时,劳动只是探索地图,R2|R3,original_synthesis
engines-005,engines,拒绝继承,responsibility,handoff|consent|future,,人物尝试停止一种长期责任继续转给下一个人,能说清为何它一直被传下去,只用摔碎道具代表结束制度时,拒绝只剩口号,R2|R3,original_synthesis
engines-006,engines,扩大已经奏效的好处,acquisition,benefit|desire|dependency,,人物为更多获得一种确实有效的帮助持续改变生活安排,好处有真实价值而代价不是一次全知展示,只把欲望写成愚蠢或恶德时,标准许愿惩罚公式,R2|R3,original_synthesis
engines-007,engines,修复关系,relationship,intimacy|trust|past,,人物通过具体相处修复裂痕而修复过程改变异常,对方有自主选择与普通诉求,将原谅当驱邪条件时,情感变成机关答案,R2|R3,original_synthesis
engines-008,engines,保全证据,testimony,truth|witness|institution,,人物优先让后果被他人看见而非查明本体,保存与公开各有不同代价,所有记录都方便地自动消失时,无法证实成为死循环,R2|R3,original_synthesis
engines-009,engines,组织撤离,exit,travel|cooperation|care,,知道局部危险后重点是协调谁如何一起离开,行动受具体能力和责任约束,临时让所有路线都失灵时,撤离变成解谜关卡,R2|R3,original_synthesis
engines-010,engines,维持已经公开的说法,concealment,reputation|shame|public,,人物为保住体面不断修补先前说法并让更多人据此行动,声誉与具体生计或关系相连,人物明知无意义仍无理由继续时,谎言链条缺乏当时诱因,R2|R3,original_synthesis
engines-011,engines,公开认领后果,responsibility,truth|responsibility|public,,人物选择承担先前行为的影响并推动他人回应,责任和罪责不是简单同义,公开认错就自动恢复世界时,道德寓言替代未知,R2|R3,original_synthesis
engines-012,engines,互相校准行动,coordination,perception|cooperation|body,,众人不必共享解释却需协调能共同完成的动作,局部观察可互相补足,合作变成输入正确口令时,群体只是解锁装置,R2|R3,original_synthesis
engines-013,engines,维持共同掩饰,concealment,secrecy|benefit|loyalty,,受益者为保住共同便利而协调沉默并处理内部不同意,成员的获益和害怕失去之物各不相同,所有人统一服从且没有普通生活时,集体又被写成无脑邪教,R2|R3,original_synthesis
engines-014,engines,争夺有限资格,competition,ambition|recognition|scarcity,,人物为得到稀缺机会抢先行动并改变共同规则的实际后果,成功理由与竞争者利益都具体,竞争只剩互相陷害的单一行为时,野心角色成为脸谱反派,R2|R3,original_synthesis
engines-015,engines,承受无法撤回的行动,consequence,agency|consequence|time,,事件由已做的选择继续产生后果而非追索新谜底,关键行动已有清楚动机,只靠事后补写隐藏过错时,廉价罪有应得,R2|R3,original_synthesis
engines-016,engines,挽留正在离开的关系,attachment,intimacy|separation|desire,,人物试图延长一段关系而每次挽留都改变对方留下的条件,依恋有共同历史且对方保有独立意愿,把控制或越界无条件当作爱时,情感执念自动变报应故事,R2|R3,original_synthesis
engines-017,engines,建立有限共同知识,inquiry,knowledge|cooperation|evidence,,只为当前决策验证一项局部关系并共享适用边界,人物确实需要该知识才能选择,调查一路收束本体弱点攻略时,一切退回解谜主线,R2|R3,original_synthesis
engines-018,engines,共同哀悼与继续生活,maintenance,loss|community|care,death,人们在无法完全解释失去时处理仍需完成的生活事务,逝者有具体人生且生者有不同需要,死亡只为制造反转时,悲伤只剩阴魂线索,R2|R3,original_synthesis
