id,dimension,label,family,tags,content_tags,prompt,use_when,avoid_when,risk,source_ids,provenance
anomalies-001,anomalies,空间关系不闭合,spatial-relation,space|measurement|perception,,相邻位置分别可确认却无法组成同一完整路径,人物有熟悉空间的正常需要,路线随机变化只为困人时,迷宫代替因果,R2|R4,original_synthesis
anomalies-002,anomalies,物质传递遗漏一步,material-continuity,material|causality|labor,,成果出现却缺少本应发生的物质转移过程,生产或家务有明确正常链条,只能靠全能魔法解释时,异常没有可核对细节,R2|R4,original_synthesis
anomalies-003,anomalies,共同动作多一个响应,coordination-anomaly,body|cooperation|timing,,多人配合中出现无法归给任何参与者的准确响应,响应改变共同工作的后果,只是机械多出一个人时,人数反转重复旧套路,R2|R4,original_synthesis
anomalies-004,anomalies,照顾行为先于需要,care-inversion,care|time|anticipation,,恰当的照料总在受助者提出需要前完成,照料既有好处也越过边界,把受助者当空白容器时,温柔外皮包同一替身梗,R2|R4,original_synthesis
anomalies-005,anomalies,权限沿关系移动,permission-anomaly,consent|identity|institution,,一个人允许的行为开始能由其关系人执行,权限原本影响真实生活,系统设置故障足以解释全部时,技术漏洞冒充终极恐怖,R2|R4,original_synthesis
anomalies-006,anomalies,边界只有单向效力,boundary-anomaly,space|ownership|consent,,同一条边界只阻止某种关系而不阻止物体,边界通过具体行动被感知,临时改适用对象救剧情时,任意规则成为作者特权,R2|R4,original_synthesis
anomalies-007,anomalies,声音具有错误距离,sensory-geometry,sound|space|perception,,声音的远近与可见空间和动作速度不能同时成立,听觉影响人物实际决策,只用耳边低语重复惊吓时,感官套话没有差异,R2|R4,original_synthesis
anomalies-008,anomalies,劳动后果落到别处,displaced-consequence,labor|causality|community,,一处完成的劳动改变另一处人的疲劳或成果,两处有可见但未穷尽的联系,全部关系靠旁白宣布时,抽象关联缺乏经验,R2|R4,original_synthesis
anomalies-009,anomalies,身体习惯具有第二用途,embodied-function,body|habit|agency,,原本普通的熟练动作开始稳定完成未知的附加工作,原用途仍成立且角色能观察差异,仅用梦游或失忆解释时,身体变成反转道具,R2|R4,original_synthesis
anomalies-010,anomalies,生态周期拒绝同步,ecological-asynchrony,ecology|season|time,,相邻生物过程各自持续却不再共享同一节律,能描写有限可观察的自然过程,伪造科学术语证明超自然时,百科错误损害可信度,R2|R4,original_synthesis
anomalies-011,anomalies,重量服从承诺,relational-material,promise|material|responsibility,,物体重量的变化与谁承认承担它有关,关系能通过具体搬动显出后果,规则被写成可刷分的游戏时,象征直接等于答案,R2|R4,original_synthesis
anomalies-012,anomalies,礼貌获得物理后果,speech-action,language|consent|habit,,日常礼貌用语的回应开始改变距离或可行动范围,措辞原本有社会功能,每句台词都成随机咒语时,规则怪谈词库化,R2|R4,original_synthesis
anomalies-013,anomalies,空闲时间被占用,temporal-claim,time|labor|privacy,,完成任务后的空白时段出现可以被别人利用的活动,先写清人物原有休息方式,只用时钟跳秒制造谜题时,失去时间没有生活后果,R2|R4,original_synthesis
anomalies-014,anomalies,舒适条件要求持续参与,dependent-safety,habit|benefit|participation,,正常舒适状态需要越来越多人参与维持,便利真实有价值,危险仅靠停止仪式立即杀人时,献祭公式换皮,R2|R4,original_synthesis
anomalies-015,anomalies,反应先于共同见证,anticipatory-response,time|community|evidence,,人们先作出合理应对随后才面对相应事件,至少有一项非记忆的行动后果,完全依赖时间循环解释时,预知成为万能情节胶水,R2|R4,original_synthesis
anomalies-016,anomalies,缺席具有可分担的工作量,absence-load,absence|labor|relationship,,一个未出现的参与者留下能被分配的具体劳动负担,人物对工作分工熟悉,缺席者只在最后被宣布存在时,幽灵同事固定反转,R2|R4,original_synthesis
anomalies-017,anomalies,修复越过身体边界,somatic-boundary,body|care|material,body_horror|medical,一处身体损伤的修复过程在接触者身上留下连续变化,身体改变会影响照护行动与相处边界,只把异常肉体当展示奇观时,身体差异被写成人格或道德污点,R2|R4,original_synthesis
anomalies-018,anomalies,正常程序产生不正常余量,procedural-remainder,institution|resource|material,,每个步骤都正确却始终留下无法归属的产出或损耗,步骤少量清楚且角色懂它们,程序只用来堆术语时,账目谜题没有人物,R2|R4,original_synthesis
