id,dimension,label,family,tags,content_tags,prompt,use_when,avoid_when,risk,source_ids,provenance
contexts-001,contexts,交接中的夜班,work-handoff,labor|handoff|institution,,旧班必须证明责任已经移交才能离开,需要陌生人短暂互信与明确职责,不能交代交接实际内容时,夜班黑暗代替真实工作,R3,original_synthesis
contexts-002,contexts,流动服务路线,mobile-work,labor|travel|service,,重复拜访不同住户使同一服务暴露出不同生活结构,人物的工作本就连接多处私人空间,每站只是换门牌重复惊吓时,住户沦为怪异陈列,R3,original_synthesis
contexts-003,contexts,家庭照护日常,care-space,care|domestic|dependency,medical,居家空间按被照护者的习惯运转并限制照护者行动,双方都有欲望且照护劳动具体,只把身体状况当怪物来源时,把需要帮助的人妖魔化,R3,original_synthesis
contexts-004,contexts,共享厨房,shared-resource,domestic|resource|neighbors,,共同做饭依赖默契分工与有限器具,需要小规模协作和资源冲突,没有人真正在此吃饭生活时,只剩多一套餐具的计数梗,R3,original_synthesis
contexts-005,contexts,公共修理间,maintenance-space,repair|community|material,,不同家庭的损坏在共同修理过程中彼此产生影响,人物懂有限技能且维修有实际需求,维修过程只能靠编造术语时,工具成为万能驱邪道具,R3,original_synthesis
contexts-006,contexts,季节性采收,seasonal-work,ecology|labor|season,,一群人必须在自然窗口关闭前完成采收,劳动节律与当地生活可具体化,只借陌生乡村制造愚昧印象时,乡土布景套用诅咒村庄,R3,original_synthesis
contexts-007,contexts,停运前的交通节点,transit-space,travel|closure|public,,末班离开与设备关闭让不同去向的人短暂互相依赖,人物各有合理去处,强行让所有通信同时失灵时,把隔绝当无需解释的便利,R3,original_synthesis
contexts-008,contexts,清退中的办公楼,transition-space,labor|closure|bureaucracy,,空间被逐层交还而责任与遗留事务不能同时清零,需要制度期限与个人留恋并存,唯一事件只是空楼脚步时,废弃地点自动等于恐怖,R3,original_synthesis
contexts-009,contexts,临时安置点,collective-space,shelter|community|scarcity,,陌生人共同维护睡眠饮食与隐私边界,能写出互助和真实生活安排,把受灾者当匿名惊吓群众时,苦难成为廉价氛围,R3,original_synthesis
contexts-010,contexts,循环水处理站,infrastructure-space,water|maintenance|public,,看不见的公共运行依赖少数人的日常维护,异常后果可落到具体用水关系,需要凭空伪造工程事实时,大词替代可见因果,R3,original_synthesis
contexts-011,contexts,排练中的小剧场,performance-space,performance|coordination|audience,,集体动作必须彼此响应且前后台所知不同,人物确实有共同演出目标,只靠面具或谢幕人数反转时,舞台技巧等同超自然规则,R3,original_synthesis
contexts-012,contexts,轮换值守的山地站,remote-work,ecology|weather|handoff,,环境监测与补给约束使等待本身成为工作,可以建立天气和联络常识,孤立只靠所有人忘带设备时,荒野自动注销理性行动,R3,original_synthesis
contexts-013,contexts,代管的私人仓库,custody-space,property|trust|absence,,代管者能接触物品却无权处置它们,保管责任会影响行动,全篇只扫描神秘箱子时,物件堆砌替代关系,R3,original_synthesis
contexts-014,contexts,社区调解室,negotiation-space,community|conflict|public,,不同住户必须把冲突说成别人能接受的事实,需要公开说法与私人损失的差异,调解仅用来倾倒背景说明时,让所有人假装没看见,R3,original_synthesis
contexts-015,contexts,多人共用的训练池,embodied-space,water|coordination|body,,呼吸计时与相互照看把安全交给他人,身体动作可以清楚描写,只有溺水刺激没有关系时,把身体风险写成竞技关卡,R3,original_synthesis
contexts-016,contexts,远程值守的协作平台,networked-space,technology|labor|coordination,,人们共同维持一项在线服务却分别承担离线后果,需要公共服务与私人生活相互影响,用万能黑客或系统术语代替可见行动时,数字故障自动等同超自然,R3,original_synthesis
contexts-017,contexts,轮作的近郊菜地,ecological-space,ecology|community|season,,邻地水土劳动相互影响而所有权分割责任,希望写出非人过程与人际选择,只剩植物长成人形时,生态成为怪物皮肤,R3,original_synthesis
contexts-018,contexts,共同仪式后的清场,ritual-space,ritual|community|labor,religion,虚构社群的公共仪式结束后仍有人负责普通收尾劳动,共同习俗与不同个人态度都可具体呈现,把真实宗教或陌生族群当天然邪恶来源时,民俗只作诅咒道具拼盘,R3,original_synthesis
